District Name,School Code,School Name
PURNEA,11400,"UTKRAMIT HIGH SCHOOL, RAGHUNATHPUR, BANMANKHI, PURNEA"
PURNEA,11401,"UTKRAMIT HIGH SCHOOL, BEGAMPUR KHATA, K.NAGAR, PURNEA"
PURNEA,11402,"UTKRAMIT HIGH SCHOOL, DUMRA, BHAWANIPUR, PURNEA"
PURNEA,11403,"UTKRAMIT HIGH SCHOOL, SONDIHA LATHI, BHAWANIPUR, PURNEA"
PURNEA,11404,"UTKRAMIT HIGH SCHOOL, DURGAPUR, BHAWANIPUR, PURNEA"
PURNEA,11405,"UTKRAMIT HIGH SCHOOL, MADARPUR, PURNEA EAST, PURNEA"
PURNEA,11406,"UTKRAMIT HIGH SCHOOL, MAJHUA, PURNEA EAST, PURNEA"
PURNEA,11407,"UTKRAMIT HIGH SCHOOL, LASANPUR, DAGRUA, PURNEA"
PURNEA,11408,"UTKRAMIT HIGH SCHOOL, LALOGARH, BANMANKHI, PURNEA"
PURNEA,11409,"UTKRAMIT HIGH SCHOOL, GANGAILI, AMOUR, PURNEA"
PURNEA,11410,"UTKRAMIT HIGH SCHOOL, PARASMANI, DHAMDAHA, PURNEA"
PURNEA,11411,"UTKRAMIT HIGH SCHOOL, BAKHRIKOL, K. NAGAR, PURNEA"
PURNEA,11412,"UTKRAMIT HIGH SCHOOL, CHAPAY GANGELI, K. NAGAR, PURENA, PURNEA"
PURNEA,11413,"UTKRAMIT HIGH SCHOOL, RAHUA WEST, K. NAGAR, PURNEA"
PURNEA,11414,"UTKRAMIT HIGH SCHOOL, BARAHKONA, DHAMDAHA, PURNEA"
PURNEA,11415,"UTKRAMIT HIGH SCHOOL, ALINAGAR I.K. NAGAR, PURNEA"
PURNEA,11416,"UTKRAMIT HIGH SCHOOL, DHARHAR YAMUNIYAN, DHAMDAHA, PURNEA"
PURNEA,11417,"UTKRAMIT HIGH SCHOOL, SIMRA, RUPAULI, PURNEA"
PURNEA,11418,"UTKRAMIT HIGH SCHOOL, SHRIPUR, BHAWANIPUR, PURNEA"
PURNEA,11419,"UTKRAMIT HIGH SCHOOL, SHAIKHPURA, BHAWANIPUR, PURNEA"
PURNEA,11420,"UTKRAMIT HIGH SCHOOL, BARDELA, DHAMDAHA, PURNEA"
PURNEA,11421,"UTKRAMIT HIGH SCHOOL, KUKRAUN MAKTAB, DHAMDAHA, PURNEA"
PURNEA,11422,"UTKRAMIT HIGH SCHOOL, BARIYA, BYASI, PURNEA"
PURNEA,11423,"UTKRAMIT HIGH SCHOOL, CHANDRAHI, DHAMDAHA, PURNEA"
PURNEA,11424,"UTKRAMIT H.S BAGHWA KANYA, DHAMDAHA, PURNEA"
PURNEA,11425,"UTKARMIT UCHCH  VIDYALAYA (SCHEDULED CASTE), DAMAILI, PURNEA"
PURNEA,11426,"UTKARMIT UCHCH  VIDYALAYA, DHAUKARDHARA, PURNEA"
PURNEA,11428,"U M S, SHINDHIYA, DAGARUA, PURNEA"
PURNEA,11429,"UTKRAMIT UCHCH VIDYALAYA, BELA CHAND SUKHIYA, BANMANKHI, PURNEA"
PURNEA,11430,"UPGRADED SECONDARY SCHOOL, SINGHIA, SRINAGAR, PURNEA"
PURNEA,11431,"GEETA SHIVRAJ U H/S, MALI, DHAMDAHA, PURANEA"
