S. No.,School Code,School Name,Address,Pincode,Block ID,District ID,District Name,Block Name
106,11341,"UTKRAMIT MADHYAMIK SCHOOL MAJGAMA, KASBA, PURNEA",,,1128,11,PURNEA,BANMANKHI
107,11342,"UTKRAMIT MADHYAMIK SCHOOL LACHHANPUR, KASBA, PURNEA",,,1128,11,PURNEA,BANMANKHI
108,11343,"UTKRAMIT MADHYAMIK SCHOOL MOHANI, KASBA, PURNEA",,,1128,11,PURNEA,BANMANKHI
109,11344,"UTKRAMIT MADHYAMIK SCHOOL SONAPUR, BAISI, PURNEA",,,1128,11,PURNEA,BANMANKHI
110,11345,"UTKRAMIT MADHYAMIK SCHOOL HARERAMPUR, BAISI, PURNEA",,,1128,11,PURNEA,BANMANKHI
111,11346,"UTKRAMIT MADHYAMIK SCHOOL CHARAIYA, BAISI, PURNEA",,,1128,11,PURNEA,BANMANKHI
112,11347,"UTKRAMIT MADHYAMIK SCHOOL SHISHAWARI, BAISI, PURNEA",,,1128,11,PURNEA,BANMANKHI
113,11348,"UTKRAMIT MADHYAMIK SCHOOL CHANDWAR, BAISI, PURNEA",,,1128,11,PURNEA,BANMANKHI
114,11349,"UTKRAMIT MADHYAMIK SCHOOL NANDANIYA, BAISI, PURNEA",,,1128,11,PURNEA,BANMANKHI
115,11350,"UTKRAMIT MADHYAMIK SCHOOL DAGARUWA, DAGARUA, PURNEA",,,1128,11,PURNEA,BANMANKHI
116,11351,"UTKRAMIT MADHYAMIK SCH C PARA BALUWA,DAGARUA, PURNEA",,,1128,11,PURNEA,BANMANKHI
117,11352,"UTKRAMIT MADHYAMIK SCHOOL SIYARAKHAM, DAGARUA, PURNEA",,,1128,11,PURNEA,BANMANKHI
118,11353,"UTKRAMIT MADHYAMIK SCH MATIYARPUR,JALALGARDH, PURNEA",,,1128,11,PURNEA,BANMANKHI
119,11354,"UTKRAMIT MADHYAMIK SCH KATHAILI, JALALGARDH, PURNEA",,,1128,11,PURNEA,BANMANKHI
120,11355,"UTKRAMIT MADHYAMIK SCHOOL EKAMBA, JALALGARDH, PURNEA",,,1128,11,PURNEA,BANMANKHI
121,11356,"UTKRAMIT M S PRAKHAND COLONY,K.NAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
122,11357,"UTKRAMIT M S PRASADPUR BELDARI, K NAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
123,11358,"UTKRAMIT M S KAJHA GANESHPUR,K NAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
124,11359,"UTKRAMIT MADHYAMIK SCHOOL PIPARA, PURNEA EAST, PURNEA",,,1128,11,PURNEA,BANMANKHI
125,11360,"UTKRAMIT MADHYAMIK SCH MAHARAJPUR,PURNEA EAST, PURNEA",,,1128,11,PURNEA,BANMANKHI
126,11361,"UTKRAMIT MADHYAMIK SCHOOL JAGAILI, SRINAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
127,11362,"UTKRAMIT M S GANGA BHAWAN KHOKHA, SRINAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
128,11363,"UTKRAMIT MADHYAMIK SCHOOL SUDHUBELI,KASBA, PURNEA",,,1128,11,PURNEA,BANMANKHI
129,11364,"UTKRAMIT MADHYAMIK SCH JIYANGANJ GURAHI,KASBA, PURNEA",,,1128,11,PURNEA,BANMANKHI
130,11365,"UTKRAMIT M S KAMALPUR BHAMRA LAAGAN, KASBA, PURNEA",,,1128,11,PURNEA,BANMANKHI
131,11366,"UTKRAMIT M S SORSONI BIJULIYA, JALALGARDH, PURNEA",,,1128,11,PURNEA,BANMANKHI
132,11367,"UTKRAMIT MADHYAMIK SCHOOL MADHWA, BAISI, PURNEA",,,1128,11,PURNEA,BANMANKHI
133,11368,"UTKRAMIT MADHYAMIK SCHOOL MAHALWARI, DAGRUA, PURNEA",,,1128,11,PURNEA,BANMANKHI
134,11369,"UTKRAMIT MADHYAMIK SCHOOL BELWA, PURNEA EAST, PURNEA",,,1128,11,PURNEA,BANMANKHI
135,11370,"UTKRAMIT MADHYAMIK SCHOOL SONDEEP, BHAWNIPUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
136,11371,"UTKRAMIT MADHYAMIK SCH GAHIL STHAN, B KOTHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
137,11372,"NAUWAT LAL UTKRAMIT M S KUKRAOUN -2, DHAMDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
138,11373,"UTKRAMIT M S CHIKANI PATRAHA, B KOTHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
139,11374,"UTKRAMIT MADHYAMIK SCHOOL GANGAILI, BANMANKHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
140,11375,"UTKRAMIT M S JIYANGANJ MIDDLE, BANMANKHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
141,11376,"UTKRAMIT MADHYAMIK SCHOOL KAJHI, BANMANKHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
142,11377,"UTKRAMIT M S GULABTOLE MALLDIHA, B KOTHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
143,11378,"UTKRAMIT MADHYAMIK SCHOOL RANGPURA, DHAMDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
144,11379,"UTKRAMIT MADHYAMIK SCHOOL BHATSARA, B KOTHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
145,11380,"UTKRAMIT MADHYAMIK SCH HARIPURMADI, BANMANKHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
146,11381,"UTKRAMIT MADHYAMIK SCHOOL SUKHSENA, B KOTHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
147,11382,"ABHYAS UTKRAMIT MADHYAMIK SCH NIRPUR,DHAMDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
148,11383,"UTKRAMIT MADHYAMIK SCHOOL NIPNIA, B KOTHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
149,11384,"UTKRAMIT MADHYAMIK SCHOOL SAHSAUL, B KOTHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
150,11385,"UTKRAMIT MADHYAMIK SCHOOL DEVOTTAR, BANMANKHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
151,11386,"UTKRAMIT M S HASAILI KHUTTI, SRI NAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
152,11387,"UTKRAMIT MADHYAMIK SCHOOL BORARHI, BANMANKHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
153,11389,"UTKRAMIT MADHYAMIK SCH LALGANJ, PURNEA EAST, PURNEA",,,1128,11,PURNEA,BANMANKHI
154,11390,UTKRAMIT M SCH SINDHIA DIWANGANJ PURNEA,,,1128,11,PURNEA,BANMANKHI
155,11391,"UTKRAMIT MADHYAMIK SCHOOL AMCHURA, PURNEA",,,1128,11,PURNEA,BANMANKHI
156,11392,"UTKRAMIT HIGH SCHOOL, MAHWALA, RUPAULI, PURNEA",,,1128,11,PURNEA,BANMANKHI
157,11393,"UTKRAMIT HIGH SCHOOL, BHAWA KANP, RUPAULI, PURNEA",,,1128,11,PURNEA,BANMANKHI
158,11394,"UTKRAMIT HIGH SCHOOL, CHHARRAPATTI, RUPAULI, PURNEA",,,1128,11,PURNEA,BANMANKHI
159,11395,"UTKRAMIT HIGH SCHOOL, TINTANGA, RUPAULI, PURNEA",,,1128,11,PURNEA,BANMANKHI
160,11396,"UTKRAMIT HIGH SCHOOL, BALUTOL, B.KOTHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
161,11397,"UTKRAMIT HIGH SCHOOL, HANUMAN NAGAR -K, B.KOTHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
162,11398,UTKRAMIT HIGH SCHOOL MIRCHAIBARI PURNEA,,,1128,11,PURNEA,BANMANKHI
163,11399,"UTKRAMIT HIGH SCHOOL, RADHANAGAR, BANMANKHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
164,11400,"UTKRAMIT HIGH SCHOOL, RAGHUNATHPUR, BANMANKHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
165,11401,"UTKRAMIT HIGH SCHOOL, BEGAMPUR KHATA, K.NAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
166,11402,"UTKRAMIT HIGH SCHOOL, DUMRA, BHAWANIPUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
167,11403,"UTKRAMIT HIGH SCHOOL, SONDIHA LATHI, BHAWANIPUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
168,11404,"UTKRAMIT HIGH SCHOOL, DURGAPUR, BHAWANIPUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
169,11405,"UTKRAMIT HIGH SCHOOL, MADARPUR, PURNEA EAST, PURNEA",,,1128,11,PURNEA,BANMANKHI
170,11406,"UTKRAMIT HIGH SCHOOL, MAJHUA, PURNEA EAST, PURNEA",,,1128,11,PURNEA,BANMANKHI
171,11407,"UTKRAMIT HIGH SCHOOL, LASANPUR, DAGRUA, PURNEA",,,1128,11,PURNEA,BANMANKHI
172,11408,"UTKRAMIT HIGH SCHOOL, LALOGARH, BANMANKHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
173,11409,"UTKRAMIT HIGH SCHOOL, GANGAILI, AMOUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
174,11410,"UTKRAMIT HIGH SCHOOL, PARASMANI, DHAMDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
175,11411,"UTKRAMIT HIGH SCHOOL, BAKHRIKOL, K. NAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
176,11412,"UTKRAMIT HIGH SCHOOL, CHAPAY GANGELI, K. NAGAR, PURENA, PURNEA",,,1128,11,PURNEA,BANMANKHI
177,11413,"UTKRAMIT HIGH SCHOOL, RAHUA WEST, K. NAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
178,11414,"UTKRAMIT HIGH SCHOOL, BARAHKONA, DHAMDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
