School Code,School Name,District Name,Block Name
11370,"UTKRAMIT MADHYAMIK SCHOOL SONDEEP, BHAWNIPUR, PURNEA",PURNEA,BANMANKHI
11371,"UTKRAMIT MADHYAMIK SCH GAHIL STHAN, B KOTHI, PURNEA",PURNEA,BANMANKHI
11372,"NAUWAT LAL UTKRAMIT M S KUKRAOUN -2, DHAMDAHA, PURNEA",PURNEA,BANMANKHI
11373,"UTKRAMIT M S CHIKANI PATRAHA, B KOTHI, PURNEA",PURNEA,BANMANKHI
11374,"UTKRAMIT MADHYAMIK SCHOOL GANGAILI, BANMANKHI, PURNEA",PURNEA,BANMANKHI
11375,"UTKRAMIT M S JIYANGANJ MIDDLE, BANMANKHI, PURNEA",PURNEA,BANMANKHI
11376,"UTKRAMIT MADHYAMIK SCHOOL KAJHI, BANMANKHI, PURNEA",PURNEA,BANMANKHI
11377,"UTKRAMIT M S GULABTOLE MALLDIHA, B KOTHI, PURNEA",PURNEA,BANMANKHI
11378,"UTKRAMIT MADHYAMIK SCHOOL RANGPURA, DHAMDAHA, PURNEA",PURNEA,BANMANKHI
11379,"UTKRAMIT MADHYAMIK SCHOOL BHATSARA, B KOTHI, PURNEA",PURNEA,BANMANKHI
11380,"UTKRAMIT MADHYAMIK SCH HARIPURMADI, BANMANKHI, PURNEA",PURNEA,BANMANKHI
11381,"UTKRAMIT MADHYAMIK SCHOOL SUKHSENA, B KOTHI, PURNEA",PURNEA,BANMANKHI
11382,"ABHYAS UTKRAMIT MADHYAMIK SCH NIRPUR,DHAMDAHA, PURNEA",PURNEA,BANMANKHI
11383,"UTKRAMIT MADHYAMIK SCHOOL NIPNIA, B KOTHI, PURNEA",PURNEA,BANMANKHI
11384,"UTKRAMIT MADHYAMIK SCHOOL SAHSAUL, B KOTHI, PURNEA",PURNEA,BANMANKHI
11385,"UTKRAMIT MADHYAMIK SCHOOL DEVOTTAR, BANMANKHI, PURNEA",PURNEA,BANMANKHI
11386,"UTKRAMIT M S HASAILI KHUTTI, SRI NAGAR, PURNEA",PURNEA,BANMANKHI
11387,"UTKRAMIT MADHYAMIK SCHOOL BORARHI, BANMANKHI, PURNEA",PURNEA,BANMANKHI
11389,"UTKRAMIT MADHYAMIK SCH LALGANJ, PURNEA EAST, PURNEA",PURNEA,BANMANKHI
11390,UTKRAMIT M SCH SINDHIA DIWANGANJ PURNEA,PURNEA,BANMANKHI
11391,"UTKRAMIT MADHYAMIK SCHOOL AMCHURA, PURNEA",PURNEA,BANMANKHI
11392,"UTKRAMIT HIGH SCHOOL, MAHWALA, RUPAULI, PURNEA",PURNEA,BANMANKHI
11393,"UTKRAMIT HIGH SCHOOL, BHAWA KANP, RUPAULI, PURNEA",PURNEA,BANMANKHI
11394,"UTKRAMIT HIGH SCHOOL, CHHARRAPATTI, RUPAULI, PURNEA",PURNEA,BANMANKHI
11395,"UTKRAMIT HIGH SCHOOL, TINTANGA, RUPAULI, PURNEA",PURNEA,BANMANKHI
11396,"UTKRAMIT HIGH SCHOOL, BALUTOL, B.KOTHI, PURNEA",PURNEA,BANMANKHI
11397,"UTKRAMIT HIGH SCHOOL, HANUMAN NAGAR -K, B.KOTHI, PURNEA",PURNEA,BANMANKHI
11398,UTKRAMIT HIGH SCHOOL MIRCHAIBARI PURNEA,PURNEA,BANMANKHI
11399,"UTKRAMIT HIGH SCHOOL, RADHANAGAR, BANMANKHI, PURNEA",PURNEA,BANMANKHI
11400,"UTKRAMIT HIGH SCHOOL, RAGHUNATHPUR, BANMANKHI, PURNEA",PURNEA,BANMANKHI
11401,"UTKRAMIT HIGH SCHOOL, BEGAMPUR KHATA, K.NAGAR, PURNEA",PURNEA,BANMANKHI
11402,"UTKRAMIT HIGH SCHOOL, DUMRA, BHAWANIPUR, PURNEA",PURNEA,BANMANKHI
11403,"UTKRAMIT HIGH SCHOOL, SONDIHA LATHI, BHAWANIPUR, PURNEA",PURNEA,BANMANKHI
11404,"UTKRAMIT HIGH SCHOOL, DURGAPUR, BHAWANIPUR, PURNEA",PURNEA,BANMANKHI
11405,"UTKRAMIT HIGH SCHOOL, MADARPUR, PURNEA EAST, PURNEA",PURNEA,BANMANKHI
