School Code,School Name,District Code
12461,U.H.S. NATHPURNARPATRGANJ,12
12462,UCHCH MADHYAMIK VIDYALAYA MADHURA DAKSHIN NARPATGANJ,12
12463,UCHCH MADHYAMIK SCHOOL KHABDAH KANHAILI,12
12464,UCHCH MADHYAMIK VIDHYALAY PALASI NARPATGANJ,12
12465,UMS DARGAHIGANJ,12
12466,U H S KHAIRA,12
12467,"UCCH MADHYAMIK VIDHAYALAY FARHI,NARPATGANAJ",12
12468,U.H.S PIPRA BIJWAR,12
12469,UHS KANKHUDIA,12
12470,UHS BHIKHA PALASI,12
12471,UHS RAMNAGAR,12
12472,UHS KUJARI,12
12473,UHS NAKTAKHURD,12
12474,UCHCH MADHYAMIK VIDYALAY BARAHKUMBA,12
12475,UHS BASAITY MADHYA,12
12476,UHS MOHANI,12
12477,U H S DHOBNIYA,12
12478,UHS FARKIA,12
12479,UMV PARSA HAT,12
12480,UCHCH MADHYAMIK VIDYALAYA PARIHARI RANIGANJ ARARIA,12
12481,UCHCH MADHYAMIK VIDYALAYA PACHIRA,12
12482,UHS MIRZAPUR RANIGANJ,12
12483,UCHCH MADHYAMIK VIDYALYA NANDANPUR,12
12484,U.H.S. GHAGHARI,12
12485,U.H.S KUPARI RANIGANJ ARARIYA,12
12486,"U.M.V BAGULAHA, RANIGANJ ARARIA",12
12487,UHS KOSHKAPUR SOUTH,12
12488,U.H.S BOKANTARI,12
12489,U.H.S BARDAHA,12
12490,UHS KAUAKOH,12
12491,UHS AMGACHHI,12
12492,U H S BENGA,12
12501,"HIGH SCHOOL RAHATMINA, ARARIA",12
12502,JANTA HIGH SCHOOL CHAKAIHAT ARARIA,12
12503,"MAHESHWARI GIRL'S H/S JOGBANI, ARARIA",12
12505,H S MIRJAPUR NANDANPUR RANIGANJ ARARIA,12
85001,"SARVODAY HIGH SCHOOL LARI, ARWAL",85
85002,"B M HIGH SCHOOL PINJRAWAN, ARWAL",85
85003,"HIGH SCHOOL KURTHA, ARWAL",85
85004,"F A M HIGH SCHOOL PAKHARPUR, ARWAL",85
85005,"B P HIGH SCHOOL AIYARA, ARWAL",85
85006,"HIGH SCHOOL BANSHI KALYANPUR, ARWAL",85
85007,BALIKA HIGH SCHOOL ARWAL,85
85008,"J B K HIGH SCHOOL KAMTA, ARWAL",85
85009,"HIGH SCHOOL INJORE, ARWAL",85
85010,"HIGH SCHOOL KORIAM, ARWAL",85
85011,"S R HIGH SCHOOL ANANDPUR, ARWAL",85
85012,"S G M HIGH SCHOOL JAIPUR, ARWAL",85
85013,"HIGH SCHOOL JONHABAGHRA, ARWAL",85
85014,"S HIGH SCHOOL SEMBHUA, ARWAL",85
85015,"N N HIGH SCHOOL NIRANJAN PUR, ARWAL",85
85016,UMAIRABAD HIGH SCHOOL ARWAL,85
85017,"R N S HIGH SCHOOL JAMUHARI, ARWAL",85
85018,"SARVODAY HIGH SCHOOL MALI RAMGARH, ARWAL",85
85019,"HIGH SCHOOL MIRZAPUR, ARWAL",85
85020,"S K HIGH SCHOOL CHANDA, ARWAL",85
85021,"R R HIGH SCHOOL SACHAI, ARWAL",85
85022,"S J S HIGH SCHOOL MANGA BIGHA, ARWAL",85
85023,"SV HIGH SCHOOL DANIYALA, ARWAL",85
85024,HIGH SCHOOL KINJER ARWAL,85
85025,G A HIGH SCHOOL ARWAL,85
85026,"S D D HIGH SCHOOL PURAN, ARWAL",85
85027,"B HIGH SCHOOL SHAHAR TELPA, ARWAL",85
85028,"HIGH SCHOOL FATEHPUR SANDA, ARWAL",85
85029,"S R K HIGH SCHOOL KALER, ARWAL",85
85030,"R K HIGH SCHOOL ROHAI, ARWAL",85
85031,"HIGH SCHOOL AGANOOR, ARWAL",85
85032,"HIGH SCHOOL KARPI, ARWAL",85
85033,"S D HIGH SCHOOL SOHASA, ARWAL",85
